,TPR,SPC,PPV,NPV,ACC,AUC,BER
0,0.6666666666666666,0.5767918088737202,0.45132743362831856,0.7681818181818182,0.6076233183856502,0.6570746614914452,0.3782707622298066
1,0.6993464052287581,0.5221843003412969,0.4331983805668016,0.7688442211055276,0.5829596412556054,0.6452965714158245,0.3892346472149725
2,0.6993464052287581,0.5802047781569966,0.4652173913043478,0.7870370370370371,0.6210762331838565,0.6867429565682929,0.36022440830712266
3,0.6601307189542484,0.590443686006826,0.45701357466063347,0.7688888888888888,0.6143497757847534,0.6801400878895358,0.37471279751946285
4,0.6078431372549019,0.6621160409556314,0.484375,0.7637795275590551,0.6434977578475336,0.6925427736509849,0.36502041089473336
5,0.6013071895424836,0.6143344709897611,0.44878048780487806,0.7468879668049793,0.6098654708520179,0.6423743558856989,0.3921791697338776
6,0.5424836601307189,0.7303754266211604,0.5123456790123457,0.7535211267605634,0.6659192825112108,0.6599076490664526,0.36357045662406035
7,0.5424836601307189,0.7123287671232876,0.49700598802395207,0.7482014388489209,0.6539325842696629,0.6803429134210761,0.3725937863729967
8,0.40522875816993464,0.684931506849315,0.4025974025974026,0.6872852233676976,0.5887640449438202,0.5929358044587698,0.45491986749037516
9,0.4605263157894737,0.7431506849315068,0.4827586206896552,0.725752508361204,0.6463963963963963,0.6133516582552272,0.39816149963950975
