,TPR,SPC,PPV,NPV,ACC,AUC,BER
0,0.5962732919254659,0.7097974369574204,0.12030075187969924,0.9635241301907969,0.7027131782945737,0.7031523215537451,0.3469646355585569
1,0.577639751552795,0.7164117403885903,0.11938382541720154,0.9622431982232094,0.7077519379844961,0.7017709181197508,0.3529742540293073
2,0.639751552795031,0.6812732534105002,0.11784897025171624,0.9660023446658851,0.6786821705426357,0.6971722312233124,0.3394875968972344
3,0.6149068322981367,0.6819685690653433,0.11405529953917051,0.9637638807714787,0.6777820860798759,0.7181362349665296,0.35156229931826
4,0.6024844720496895,0.695616211745244,0.11644657863145258,0.9633447880870561,0.6898022489336952,0.7028394700203957,0.35094965810253326
5,0.6832298136645962,0.7026468155500414,0.13268998793727382,0.9708571428571429,0.7014346645986816,0.7292202888275819,0.3070616853926812
6,0.56875,0.6980976013234078,0.11084043848964677,0.960728514513375,0.6900698215671063,0.678675558312655,0.3665761993382961
7,0.59375,0.684863523573201,0.11085180863477247,0.9622312608948286,0.6792086889061287,0.663727770885029,0.3606932382133995
8,0.60625,0.7051282051282052,0.11975308641975309,0.9643665158371041,0.6989914662529092,0.7198511166253102,0.34431089743589743
9,0.63125,0.6645988420181969,0.11074561403508772,0.9645858343337335,0.6625290923196276,0.701866211745244,0.3520755789909016
